store_format,group,producer,global_sku_name,akb_sku,akb_grp,kg_sku
Формат 5,Группа 3,Производитель 1,SKU 1,283,817,708.63
Формат 5,Группа 3,Производитель 2,SKU 2,283,817,708.63
Формат 5,Группа 6,Производитель 3,SKU 3,283,817,708.63
Формат 3,Группа 3,Производитель 4,SKU 4,283,817,708.63
Формат 3,Группа 6,Производитель 5,SKU 5,283,817,708.63
Формат 3,Группа 3,Производитель 6,SKU 6,283,817,708.63
Формат 5,Группа 3,Производитель 7,SKU 7,283,817,708.63
Формат 4,Группа 3,Производитель 8,SKU 8,283,817,708.63
Формат 4,Группа 3,Производитель 9,SKU 9,283,817,708.63
Формат 3,Группа 3,Производитель 10,SKU 10,283,817,708.63
Формат 5,Группа 3,Производитель 11,SKU 11,283,817,708.63
Формат 5,Группа 3,Производитель 12,SKU 12,283,817,708.63
Формат 5,Группа 3,Производитель 13,SKU 13,283,817,708.63
Формат 5,Группа 3,Производитель 14,SKU 14,283,817,708.63
Формат 5,Группа 3,Производитель 15,SKU 15,283,817,708.63
Формат 3,Группа 2,Производитель 16,SKU 16,283,817,708.63
Формат 4,Группа 1,Производитель 17,SKU 17,283,817,708.63
Формат 4,Группа 1,Производитель 18,SKU 18,283,817,708.63
Формат 3,Группа 1,Производитель 19,SKU 19,283,817,708.63
Формат 3,Группа 1,Производитель 20,SKU 20,283,817,708.63
Формат 5,Группа 4,Производитель 21,SKU 21,283,817,708.63
Формат 3,Группа 1,Производитель 22,SKU 22,283,817,708.63
Формат 3,Группа 1,Производитель 23,SKU 23,283,817,708.63
Формат 5,Группа 1,Производитель 24,SKU 24,283,817,708.63
Формат 5,Группа 1,Производитель 25,SKU 25,283,817,708.63
Формат 4,Группа 1,Производитель 26,SKU 26,283,817,708.63
Формат 3,Группа 1,Производитель 27,SKU 27,283,817,708.63
Формат 5,Группа 2,Производитель 28,SKU 28,283,817,708.63
Формат 3,Группа 1,Производитель 29,SKU 29,283,817,708.63
Формат 3,Группа 2,Производитель 30,SKU 30,283,817,708.63
Формат 3,Группа 1,Производитель 31,SKU 31,283,817,708.63
Формат 3,Группа 1,Производитель 32,SKU 32,283,817,708.63
Формат 3,Группа 2,Производитель 33,SKU 33,283,817,708.63
Формат 5,Группа 4,Производитель 34,SKU 34,283,817,708.63
Формат 5,Группа 2,Производитель 35,SKU 35,283,817,708.63
Формат 3,Группа 2,Производитель 36,SKU 36,283,817,708.63
Формат 5,Группа 1,Производитель 37,SKU 37,283,817,708.63
Формат 3,Группа 2,Производитель 38,SKU 38,283,817,708.63
Формат 3,Группа 2,Производитель 39,SKU 39,283,817,708.63
Формат 5,Группа 4,Производитель 40,SKU 40,283,817,708.63
Формат 3,Группа 2,Производитель 41,SKU 41,283,817,708.63
Формат 5,Группа 2,Производитель 42,SKU 42,283,817,708.63
Формат 5,Группа 2,Производитель 43,SKU 43,283,817,708.63
Формат 4,Группа 3,Производитель 44,SKU 44,283,817,708.63
Формат 4,Группа 3,Производитель 45,SKU 45,283,817,708.63
Формат 4,Группа 1,Производитель 46,SKU 46,283,817,708.63
Формат 4,Группа 1,Производитель 47,SKU 47,283,817,708.63
Формат 4,Группа 4,Производитель 48,SKU 48,283,817,708.63
Формат 4,Группа 1,Производитель 49,SKU 49,283,817,708.63
Формат 2,Группа 1,Производитель 50,SKU 50,283,817,708.63
Формат 2,Группа 1,Производитель 51,SKU 51,283,817,708.63
Формат 2,Группа 3,Производитель 52,SKU 52,283,817,708.63
Формат 2,Группа 3,Производитель 53,SKU 53,283,817,708.63
