report_date,group,producer,brand,tonnes,thou_rub
2023-01-01,Группа 6,Производитель 17,Бренд 1,731.98,262.21
2023-02-01,Группа 6,Производитель 6,Бренд 24,751.6,884.98
2023-03-01,Группа 6,Производитель 19,Бренд 3,133.38,883.95
2023-04-01,Группа 6,Производитель 8,Бренд 13,309.7,537.09
2023-05-01,Группа 6,Производитель 5,Бренд 4,232.4,852.69
2023-06-01,Группа 6,Производитель 20,Бренд 21,472.12,921.77
2023-07-01,Группа 6,Производитель 16,Бренд 3,637.16,833.84
2023-08-01,Группа 6,Производитель 17,Бренд 15,672.63,590.52
2023-09-01,Группа 6,Производитель 24,Бренд 16,785.51,519.9
2023-10-01,Группа 6,Производитель 10,Бренд 10,590.05,893.4
2023-11-01,Группа 6,Производитель 21,Бренд 24,697.17,685.3
2023-12-01,Группа 6,Производитель 8,Бренд 13,553.21,804.78
2024-01-01,Группа 6,Производитель 14,Бренд 18,837.07,377.64
2024-02-01,Группа 6,Производитель 15,Бренд 15,578.91,463.45
2024-03-01,Группа 6,Производитель 6,Бренд 2,629.8,521.4
2024-04-01,Группа 6,Производитель 5,Бренд 12,401.48,991.16
2024-05-01,Группа 6,Производитель 6,Бренд 22,922.73,360.16
2024-06-01,Группа 6,Производитель 17,Бренд 19,947.32,604.38
2023-01-01,Группа 6,Производитель 15,Бренд 9,698.03,901.76
2023-02-01,Группа 6,Производитель 23,Бренд 4,695.99,935.16
2023-03-01,Группа 6,Производитель 17,Бренд 12,468.92,710.63
2023-04-01,Группа 6,Производитель 6,Бренд 11,307.5,705.29
2023-05-01,Группа 6,Производитель 22,Бренд 18,394.17,496.1
2023-06-01,Группа 6,Производитель 23,Бренд 22,533.15,571.69
2023-07-01,Группа 6,Производитель 18,Бренд 15,943.82,761.08
2023-08-01,Группа 6,Производитель 17,Бренд 7,282.81,790.73
2023-09-01,Группа 6,Производитель 4,Бренд 21,359.43,883.75
2023-10-01,Группа 6,Производитель 3,Бренд 3,943.43,105.01
2023-11-01,Группа 6,Производитель 7,Бренд 5,512.52,325.75
2023-12-01,Группа 6,Производитель 11,Бренд 4,799.35,395.08
2024-01-01,Группа 6,Производитель 2,Бренд 6,745.59,522.12
2024-02-01,Группа 6,Производитель 22,Бренд 21,424.68,612.17
2024-03-01,Группа 6,Производитель 12,Бренд 4,199.63,655.55
2024-04-01,Группа 6,Производитель 17,Бренд 8,165.51,204.09
2024-05-01,Группа 6,Производитель 6,Бренд 7,827.39,254.99
2024-06-01,Группа 6,Производитель 8,Бренд 12,928.84,680.03
2023-01-01,Группа 6,Производитель 3,Бренд 13,351.57,702.47
2023-02-01,Группа 6,Производитель 18,Бренд 18,738.74,195.35
2023-03-01,Группа 6,Производитель 19,Бренд 3,556.95,356.62
2023-04-01,Группа 6,Производитель 6,Бренд 3,711.04,985.47
2023-05-01,Группа 6,Производитель 18,Бренд 22,465.56,887.98
2023-06-01,Группа 6,Производитель 2,Бренд 20,779.7,908.04
2023-07-01,Группа 6,Производитель 10,Бренд 20,993.81,368.76
2023-08-01,Группа 6,Производитель 4,Бренд 15,551.13,481.18
2023-09-01,Группа 6,Производитель 18,Бренд 19,824.12,591.3
2023-10-01,Группа 6,Производитель 9,Бренд 14,321.42,923.02
2023-11-01,Группа 6,Производитель 12,Бренд 23,587.05,336.46
2023-12-01,Группа 6,Производитель 12,Бренд 14,932.34,298.08
2024-01-01,Группа 6,Производитель 12,Бренд 14,343.75,807.84
2024-02-01,Группа 6,Производитель 7,Бренд 9,192.29,410.72
2024-03-01,Группа 6,Производитель 14,Бренд 17,368.36,234.95
2024-04-01,Группа 6,Производитель 20,Бренд 6,404.69,372.77
2024-05-01,Группа 6,Производитель 12,Бренд 7,790.54,113.13
2024-06-01,Группа 6,Производитель 5,Бренд 9,266.42,913.9
2023-01-01,Группа 6,Производитель 1,Бренд 23,340.31,496.42
2023-02-01,Группа 6,Производитель 4,Бренд 1,805.31,876.62
2023-03-01,Группа 6,Производитель 2,Бренд 21,462.35,842.68
2023-04-01,Группа 6,Производитель 3,Бренд 14,996.99,362.94
2023-05-01,Группа 6,Производитель 3,Бренд 16,127.59,560.76
2023-06-01,Группа 6,Производитель 15,Бренд 12,218.55,199.56
2023-07-01,Группа 6,Производитель 20,Бренд 5,291.67,603.35
2023-08-01,Группа 6,Производитель 21,Бренд 1,836.85,470.2
2023-09-01,Группа 6,Производитель 16,Бренд 14,598.52,879.66
2023-10-01,Группа 6,Производитель 15,Бренд 5,874.32,882.71
2023-11-01,Группа 6,Производитель 8,Бренд 9,397.06,876.46
2023-12-01,Группа 6,Производитель 23,Бренд 23,842.62,487.53
2024-01-01,Группа 6,Производитель 16,Бренд 5,140.03,662.15
2024-02-01,Группа 6,Производитель 18,Бренд 17,571.17,214.29
2024-03-01,Группа 6,Производитель 18,Бренд 12,923.99,852.82
2024-04-01,Группа 6,Производитель 21,Бренд 6,340.58,149.46
2024-05-01,Группа 6,Производитель 17,Бренд 16,228.27,413.17
2024-06-01,Группа 6,Производитель 23,Бренд 24,386.61,953.78
2023-01-01,Группа 6,Производитель 13,Бренд 22,976.2,847.53
2023-02-01,Группа 6,Производитель 14,Бренд 21,967.38,905.36
2023-03-01,Группа 6,Производитель 7,Бренд 10,698.71,264.95
2023-04-01,Группа 6,Производитель 23,Бренд 17,977.84,111.53
2023-05-01,Группа 6,Производитель 14,Бренд 5,356.42,246.45
2023-06-01,Группа 6,Производитель 12,Бренд 23,734.51,689.11
2023-07-01,Группа 6,Производитель 8,Бренд 8,594.48,767.49
2023-08-01,Группа 6,Производитель 7,Бренд 3,300.91,665.18
